,ACCIDENT_NO,ATMOSPH_COND,ATMOSPH_COND_SEQ,Atmosph Cond Desc
144830,T20160002602,1,1,Clear
144831,T20160002604,1,1,Clear
144832,T20160002608,1,1,Clear
144833,T20160002609,1,1,Clear
144834,T20160002611,1,1,Clear
144835,T20160002613,1,0,Clear
144836,T20160002614,1,1,Clear
144837,T20160002615,1,0,Clear
144838,T20160002616,1,1,Clear
144840,T20160002620,1,1,Clear
144841,T20160002623,1,1,Clear
144842,T20160002624,1,1,Clear
144843,T20160002625,1,1,Clear
144844,T20160002626,1,1,Clear
144845,T20160002627,1,1,Clear
144846,T20160002629,1,1,Clear
144847,T20160002630,1,1,Clear
144848,T20160002632,1,1,Clear
144849,T20160002636,1,0,Clear
144850,T20160002637,1,1,Clear
144851,T20160002638,1,1,Clear
144852,T20160002639,1,1,Clear
144853,T20160002640,9,1,Not known
144854,T20160002642,1,1,Clear
144855,T20160002643,1,1,Clear
144856,T20160002648,9,1,Not known
144857,T20160002650,1,1,Clear
144858,T20160002651,1,0,Clear
144859,T20160002652,1,1,Clear
144860,T20160002653,1,0,Clear
144861,T20160002656,1,1,Clear
144862,T20160002657,1,1,Clear
144863,T20160002660,1,1,Clear
144864,T20160002661,1,1,Clear
144865,T20160002662,1,1,Clear
144866,T20160002664,1,1,Clear
144867,T20160002665,1,1,Clear
144868,T20160002666,1,1,Clear
144869,T20160002668,1,1,Clear
144870,T20160002669,1,1,Clear
144871,T20160002672,1,1,Clear
144872,T20160002673,1,0,Clear
144873,T20160002676,1,0,Clear
144874,T20160002677,1,1,Clear
144875,T20160002679,1,1,Clear
144876,T20160002681,1,1,Clear
144877,T20160002682,1,1,Clear
144878,T20160002684,1,1,Clear
144879,T20160002685,9,1,Not known
144880,T20160002687,1,0,Clear
144881,T20160002688,1,1,Clear
144882,T20160002689,1,1,Clear
144884,T20160002691,2,1,Raining
144885,T20160002695,1,1,Clear
144886,T20160002699,1,1,Clear
144887,T20160002702,1,0,Clear
144888,T20160002705,1,1,Clear
144889,T20160002706,1,1,Clear
144890,T20160002707,9,0,Not known
144891,T20160002708,1,1,Clear
144892,T20160002710,1,1,Clear
144893,T20160002711,1,1,Clear
144894,T20160002712,1,1,Clear
144895,T20160002713,1,0,Clear
144896,T20160002714,1,0,Clear
144897,T20160002717,1,1,Clear
144898,T20160002718,1,1,Clear
144899,T20160002719,1,1,Clear
144900,T20160002721,1,1,Clear
144901,T20160002722,1,1,Clear
144902,T20160002723,1,1,Clear
144903,T20160002726,1,1,Clear
144904,T20160002727,1,1,Clear
144905,T20160002728,1,1,Clear
144906,T20160002730,1,1,Clear
144907,T20160002732,1,0,Clear
144908,T20160002734,1,0,Clear
144909,T20160002736,1,1,Clear
144910,T20160002740,1,1,Clear
144911,T20160002743,1,1,Clear
144912,T20160002744,1,1,Clear
144913,T20160002745,1,1,Clear
144914,T20160002747,1,0,Clear
144915,T20160002751,1,1,Clear
144916,T20160002752,1,1,Clear
144917,T20160002755,1,1,Clear
144918,T20160002759,1,0,Clear
144919,T20160002761,1,1,Clear
144920,T20160002762,1,0,Clear
144921,T20160002764,1,1,Clear
144922,T20160002765,1,0,Clear
