,ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
159860,T20170003344,1,Dry,1
159861,T20170003345,2,Wet,1
159862,T20170003347,2,Wet,1
159863,T20170003348,2,Wet,0
159864,T20170003349,2,Wet,1
159865,T20170003350,2,Wet,1
159866,T20170003351,2,Wet,0
159867,T20170003352,2,Wet,1
159868,T20170003353,2,Wet,0
159869,T20170003356,2,Wet,1
159870,T20170003357,2,Wet,1
159871,T20170003361,1,Dry,1
159872,T20170003362,2,Wet,1
159873,T20170003364,1,Dry,0
159874,T20170003366,2,Wet,1
159875,T20170003367,1,Dry,0
159876,T20170003370,1,Dry,1
159877,T20170003374,1,Dry,1
159878,T20170003375,2,Wet,1
159879,T20170003377,2,Wet,1
159880,T20170003379,1,Dry,0
159881,T20170003380,1,Dry,1
159882,T20170003381,1,Dry,1
159883,T20170003382,1,Dry,1
159884,T20170003388,1,Dry,1
159885,T20170003391,9,Unknown,1
159886,T20170003393,2,Wet,1
159887,T20170003394,1,Dry,0
159888,T20170003395,2,Wet,1
159889,T20170003396,1,Dry,1
159890,T20170003397,2,Wet,1
159891,T20170003397,3,Muddy,2
159892,T20170003398,9,Unknown,0
159893,T20170003399,2,Wet,1
159894,T20170003401,1,Dry,0
159895,T20170003402,1,Dry,1
159896,T20170003403,1,Dry,1
159897,T20170003405,9,Unknown,1
159898,T20170003407,1,Dry,1
159899,T20170003408,1,Dry,1
159900,T20170003410,1,Dry,1
159901,T20170003412,1,Dry,1
159902,T20170003414,1,Dry,1
159903,T20170003415,1,Dry,1
159905,T20170003417,9,Unknown,1
159906,T20170003418,1,Dry,1
159907,T20170003419,1,Dry,1
159908,T20170003421,1,Dry,1
159909,T20170003422,1,Dry,1
159910,T20170003423,1,Dry,1
159911,T20170003427,1,Dry,1
159912,T20170003428,1,Dry,1
159913,T20170003431,2,Wet,1
159914,T20170003432,1,Dry,1
159915,T20170003433,1,Dry,1
159916,T20170003436,1,Dry,1
159917,T20170003438,1,Dry,1
159918,T20170003440,1,Dry,1
159919,T20170003444,1,Dry,1
159920,T20170003447,1,Dry,1
159921,T20170003450,2,Wet,1
159922,T20170003453,1,Dry,0
159923,T20170003454,1,Dry,1
159924,T20170003455,1,Dry,1
159925,T20170003456,1,Dry,0
159926,T20170003457,1,Dry,1
159927,T20170003459,1,Dry,1
159928,T20170003465,1,Dry,1
159929,T20170003466,1,Dry,1
159930,T20170003467,2,Wet,1
159931,T20170003468,1,Dry,1
159932,T20170003470,9,Unknown,1
159933,T20170003471,1,Dry,0
159934,T20170003472,1,Dry,1
159935,T20170003473,1,Dry,1
159936,T20170003479,1,Dry,1
159937,T20170003480,1,Dry,1
159938,T20170003481,1,Dry,1
159939,T20170003482,1,Dry,1
159940,T20170003483,1,Dry,1
159941,T20170003484,1,Dry,1
159942,T20170003485,1,Dry,1
159943,T20170003490,1,Dry,0
159944,T20170003491,1,Dry,0
159945,T20170003492,2,Wet,1
159946,T20170003493,1,Dry,1
159948,T20170003499,1,Dry,1
159949,T20170003500,1,Dry,1
159950,T20170003502,1,Dry,1
159951,T20170003505,1,Dry,1
159952,T20170003506,1,Dry,1
159953,T20170003507,1,Dry,0
159954,T20170003510,1,Dry,1
159955,T20170003512,9,Unknown,1
159956,T20170003513,1,Dry,1
159957,T20170003516,1,Dry,1
159958,T20170003520,1,Dry,1
159959,T20170003521,1,Dry,1
159960,T20170003523,1,Dry,1
159961,T20170003524,1,Dry,1
159962,T20170003526,1,Dry,1
159963,T20170003527,1,Dry,1
159964,T20170003528,1,Dry,1
159965,T20170003529,1,Dry,1
159966,T20170003530,1,Dry,1
159967,T20170003533,1,Dry,1
159968,T20170003536,1,Dry,1
159969,T20170003538,1,Dry,0
159970,T20170003539,1,Dry,0
159971,T20170003541,1,Dry,1
159972,T20170003542,1,Dry,1
159973,T20170003545,1,Dry,1
159974,T20170003549,1,Dry,0
159975,T20170003551,1,Dry,1
159976,T20170003553,1,Dry,1
159977,T20170003557,9,Unknown,1
159978,T20170003558,9,Unknown,1
159980,T20170003561,1,Dry,0
159981,T20170003562,1,Dry,1
159982,T20170003563,1,Dry,1
159983,T20170003564,1,Dry,0
159984,T20170003565,1,Dry,1
159985,T20170003566,9,Unknown,1
159986,T20170003567,1,Dry,1
159987,T20170003572,1,Dry,1
159988,T20170003575,2,Wet,0
159989,T20170003580,1,Dry,1
159990,T20170003581,1,Dry,0
159991,T20170003582,2,Wet,1
159992,T20170003583,1,Dry,0
159993,T20170003584,9,Unknown,1
159994,T20170003586,9,Unknown,1
159995,T20170003589,1,Dry,0
159996,T20170003592,1,Dry,1
159997,T20170003593,1,Dry,1
159998,T20170003594,1,Dry,1
159999,T20170003596,1,Dry,0
160000,T20170003597,2,Wet,1
160001,T20170003598,1,Dry,1
160002,T20170003599,1,Dry,1
160003,T20170003601,1,Dry,1
160004,T20170003603,1,Dry,0
160005,T20170003604,9,Unknown,1
160006,T20170003606,1,Dry,0
160007,T20170003608,1,Dry,1
160008,T20170003609,1,Dry,1
160009,T20170003610,1,Dry,1
160010,T20170003611,1,Dry,1
160011,T20170003613,1,Dry,0
160012,T20170003616,1,Dry,1
160013,T20170003617,1,Dry,1
160014,T20170003619,2,Wet,1
160015,T20170003621,1,Dry,1
160016,T20170003623,2,Wet,1
160017,T20170003625,1,Dry,1
160018,T20170003627,1,Dry,1
160019,T20170003631,1,Dry,0
160020,T20170003632,1,Dry,1
160021,T20170003633,1,Dry,1
160022,T20170003634,9,Unknown,0
160023,T20170003635,1,Dry,0
160024,T20170003636,1,Dry,1
160025,T20170003637,1,Dry,1
160026,T20170003640,1,Dry,1
160027,T20170003643,1,Dry,0
160028,T20170003644,1,Dry,1
160029,T20170003645,1,Dry,1
160030,T20170003646,1,Dry,1
160031,T20170003647,9,Unknown,1
160032,T20170003649,1,Dry,1
160033,T20170003652,1,Dry,1
160034,T20170003653,1,Dry,1
160035,T20170003655,1,Dry,1
160036,T20170003656,1,Dry,1
160037,T20170003658,1,Dry,1
160038,T20170003659,1,Dry,1
160039,T20170003661,1,Dry,1
160040,T20170003662,1,Dry,1
160041,T20170003663,1,Dry,1
160042,T20170003666,1,Dry,1
160043,T20170003667,1,Dry,0
160044,T20170003668,1,Dry,1
160045,T20170003669,2,Wet,1
160046,T20170003670,1,Dry,0
160047,T20170003672,1,Dry,0
160048,T20170003674,1,Dry,1
160049,T20170003675,1,Dry,1
160050,T20170003676,1,Dry,1
160051,T20170003678,1,Dry,1
160052,T20170003679,1,Dry,1
160053,T20170003680,1,Dry,1
160054,T20170003681,1,Dry,0
160055,T20170003682,1,Dry,1
160056,T20170003686,1,Dry,1
160057,T20170003688,9,Unknown,1
160058,T20170003690,1,Dry,1
160059,T20170003691,1,Dry,1
160060,T20170003695,1,Dry,0
160061,T20170003696,1,Dry,1
160062,T20170003698,1,Dry,1
160063,T20170003699,1,Dry,0
160064,T20170003700,1,Dry,1
160065,T20170003703,1,Dry,1
160066,T20170003704,1,Dry,1
160067,T20170003705,1,Dry,0
160068,T20170003706,9,Unknown,1
